[2024-05-10T00:01:57.856+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-10T00:01:57.882+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ml_pipeline.extract_api_data manual__2024-05-09T23:55:21.313175+00:00 [queued]>
[2024-05-10T00:01:57.891+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ml_pipeline.extract_api_data manual__2024-05-09T23:55:21.313175+00:00 [queued]>
[2024-05-10T00:01:57.891+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 5
[2024-05-10T00:01:57.903+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): extract_api_data> on 2024-05-09 23:55:21.313175+00:00
[2024-05-10T00:01:57.909+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=5461) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-05-10T00:01:57.911+0000] {standard_task_runner.py:63} INFO - Started process 5463 to run task
[2024-05-10T00:01:57.909+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'ml_pipeline', 'extract_api_data', 'manual__2024-05-09T23:55:21.313175+00:00', '--job-id', '176', '--raw', '--subdir', 'DAGS_FOLDER/main_dag.py', '--cfg-path', '/tmp/tmpqgjieijj']
[2024-05-10T00:01:57.912+0000] {standard_task_runner.py:91} INFO - Job 176: Subtask extract_api_data
[2024-05-10T00:01:57.923+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-05-10T00:01:57.951+0000] {task_command.py:426} INFO - Running <TaskInstance: ml_pipeline.extract_api_data manual__2024-05-09T23:55:21.313175+00:00 [running]> on host 3031e573f05c
[2024-05-10T00:01:58.028+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ml_pipeline' AIRFLOW_CTX_TASK_ID='extract_api_data' AIRFLOW_CTX_EXECUTION_DATE='2024-05-09T23:55:21.313175+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-05-09T23:55:21.313175+00:00'
[2024-05-10T00:01:58.029+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-05-10T00:01:58.117+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_0.json
[2024-05-10T00:01:58.117+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_0.json
[2024-05-10T00:01:58.119+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_1.json
[2024-05-10T00:01:58.120+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_1.json
[2024-05-10T00:01:58.122+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_10.json
[2024-05-10T00:01:58.123+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_10.json
[2024-05-10T00:01:58.125+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_100.json
[2024-05-10T00:01:58.126+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_100.json
[2024-05-10T00:01:58.128+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_1000.json
[2024-05-10T00:01:58.129+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_1000.json
[2024-05-10T00:01:58.131+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_1001.json
[2024-05-10T00:01:58.131+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_1001.json
[2024-05-10T00:01:58.133+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_1002.json
[2024-05-10T00:01:58.133+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_1002.json
[2024-05-10T00:01:58.135+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_1003.json
[2024-05-10T00:01:58.135+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_1003.json
[2024-05-10T00:01:58.137+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_1004.json
[2024-05-10T00:01:58.138+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_1004.json
[2024-05-10T00:01:58.140+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_1005.json
[2024-05-10T00:01:58.141+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_1005.json
[2024-05-10T00:01:58.144+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_1006.json
[2024-05-10T00:01:58.144+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_1006.json
[2024-05-10T00:01:58.146+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_1007.json
[2024-05-10T00:01:58.147+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_1007.json
