[2024-05-09T23:52:11.476+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-09T23:52:11.497+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ml_pipeline.extract_api_data manual__2024-05-09T23:50:40.734674+00:00 [queued]>
[2024-05-09T23:52:11.504+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ml_pipeline.extract_api_data manual__2024-05-09T23:50:40.734674+00:00 [queued]>
[2024-05-09T23:52:11.505+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 4
[2024-05-09T23:52:11.515+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): extract_api_data> on 2024-05-09 23:50:40.734674+00:00
[2024-05-09T23:52:11.521+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=5069) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-05-09T23:52:11.522+0000] {standard_task_runner.py:63} INFO - Started process 5071 to run task
[2024-05-09T23:52:11.521+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'ml_pipeline', 'extract_api_data', 'manual__2024-05-09T23:50:40.734674+00:00', '--job-id', '170', '--raw', '--subdir', 'DAGS_FOLDER/main_dag.py', '--cfg-path', '/tmp/tmpptno_9oh']
[2024-05-09T23:52:11.523+0000] {standard_task_runner.py:91} INFO - Job 170: Subtask extract_api_data
[2024-05-09T23:52:11.534+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-05-09T23:52:11.558+0000] {task_command.py:426} INFO - Running <TaskInstance: ml_pipeline.extract_api_data manual__2024-05-09T23:50:40.734674+00:00 [running]> on host 3031e573f05c
[2024-05-09T23:52:11.623+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ml_pipeline' AIRFLOW_CTX_TASK_ID='extract_api_data' AIRFLOW_CTX_EXECUTION_DATE='2024-05-09T23:50:40.734674+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-05-09T23:50:40.734674+00:00'
[2024-05-09T23:52:11.624+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-05-09T23:52:11.708+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_0.json
[2024-05-09T23:52:11.708+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_0.json
[2024-05-09T23:52:11.715+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_1.json
[2024-05-09T23:52:11.716+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_1.json
[2024-05-09T23:52:11.720+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_10.json
[2024-05-09T23:52:11.720+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_10.json
[2024-05-09T23:52:11.726+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_100.json
[2024-05-09T23:52:11.726+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_100.json
[2024-05-09T23:52:11.730+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_101.json
[2024-05-09T23:52:11.731+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_101.json
[2024-05-09T23:52:11.735+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_102.json
[2024-05-09T23:52:11.736+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_102.json
[2024-05-09T23:52:11.744+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_103.json
[2024-05-09T23:52:11.745+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_103.json
[2024-05-09T23:52:11.751+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_104.json
[2024-05-09T23:52:11.751+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_104.json
[2024-05-09T23:52:11.756+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_105.json
[2024-05-09T23:52:11.756+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_105.json
[2024-05-09T23:52:11.761+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_106.json
[2024-05-09T23:52:11.761+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_106.json
[2024-05-09T23:52:11.766+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_107.json
[2024-05-09T23:52:11.766+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_107.json
[2024-05-09T23:52:11.770+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_108.json
[2024-05-09T23:52:11.771+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_108.json
[2024-05-09T23:52:11.775+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_109.json
[2024-05-09T23:52:11.775+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_109.json
[2024-05-09T23:52:11.779+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_11.json
[2024-05-09T23:52:11.779+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_11.json
[2024-05-09T23:52:11.783+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_110.json
[2024-05-09T23:52:11.783+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_110.json
[2024-05-09T23:52:11.787+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_111.json
[2024-05-09T23:52:11.788+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_111.json
[2024-05-09T23:52:11.795+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_112.json
[2024-05-09T23:52:11.795+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_112.json
[2024-05-09T23:52:11.799+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_12.json
[2024-05-09T23:52:11.799+0000] {logging_mixin.py:188} INFO - Extracted data from data/api_data_json/research_12.json
[2024-05-09T23:52:11.802+0000] {logging_mixin.py:188} INFO - Extracting data from data/api_data_json/research_13.json
