title,affiliation_name,affiliation_country,publication_year,keywords
Role of interventional procedures in channelopathies catheter ablation and sympathectomy,"['Hospital Sant Joan de Déu Barcelona', 'Universitat de Girona', 'Faculty of Medicine, Chulalongkorn University']","['Spain', 'Spain', 'Thailand']",2021,[]
Democratic Lagrangians for Nonlinear Electrodynamics,"['University of California, Santa Barbara', 'Chulalongkorn University', 'Vrije Universiteit Brussel', 'Southern Federal University', 'Imperial College London']","['United States', 'Thailand', 'Belgium', 'Russian Federation', 'United Kingdom']",2021,[]
Ontogeny and morphological diversity in immature mites (Part V) (Table of contents),"['Hawkesbury Institute for the Environment', 'Chulalongkorn University', 'The University of Auckland']","['Australia', 'Thailand', 'New Zealand']",2021,[]
Ontogeny and morphological diversity in immature mites (Part V) (Title page),"['Hawkesbury Institute for the Environment', 'Chulalongkorn University', 'The University of Auckland']","['Australia', 'Thailand', 'New Zealand']",2021,[]
Improved Development Cycle for 8-bit FPGA-Based Soft-Macros Targeting Complex Algorithms,['Chulalongkorn University'],['Thailand'],2021,"['8-bit soft microprocessor', 'FPGA', 'PicoBlaze', 'Software development methods', 'Verification techniques']"
Dolutegravir as First- or Second-Line Treatment for HIV-1 Infection in Children,"['Università degli Studi di Padova', 'Africa Health Research Institute', 'The University of Sydney School of Public Health', 'Joint Clinical Research Center Uganda', 'Makerere University', 'University of Zimbabwe', 'Thai Red Cross Agency', 'London School of Hygiene &amp; Tropical Medicine', 'Prapokklao Hospital', 'Chulalongkorn University', 'Heartlands Hospital', 'University of the Witwatersrand, Johannesburg', 'Medical Research Council', 'UCL Great Ormond Street Institute of Child Health', 'University of KwaZulu-Natal', 'Johns Hopkins University', 'Universitätsklinikum Hamburg-Eppendorf', 'Hospital Universitario 12 de Octubre', 'Radboud University Medical Center', 'Stellenbosch University', 'Inserm', 'Chiang Mai University', 'Baylor College of Medicine', 'Joint Clinical Research Centre']","['Italy', 'South Africa', 'Australia', 'Uganda', 'Uganda', 'Zimbabwe', 'Thailand', 'United Kingdom', 'Thailand', 'Thailand', 'United Kingdom', 'South Africa', 'United Kingdom', 'United Kingdom', 'South Africa', 'United States', 'Germany', 'Spain', 'Netherlands', 'South Africa', 'France', 'Thailand', 'Uganda', 'Uganda']",2021,[]
Does proactive logistics management enhance business management?Czy proaktywne zarzdzanie logistyk wzmacnia zarzdzanie biznesem?,"['Suan Sunandha Rajabhat University', 'Chulalongkorn University', 'Myanmar Martime University', 'SCG Logistics Management']","['Thailand', 'Thailand', 'Myanmar', 'Thailand']",2021,"['Business management', 'Firm size', 'Logistics awareness', 'Logistics management', 'Logistics strategies']"
Hedging stocks in crises and market downturns with gold and bonds: Industry analysis,['Chulalongkorn University'],['Thailand'],2021,['Hedging stock return Stock-gold correlations Stock-bond correlations Flight-to-quality Safe haven Crises Covid-19 DCC-GARCH']
One-Step Hydrothermal Synthesis of Precious Metal-Doped Titanium DioxideGraphene Oxide Composites for Photocatalytic Conversion of CO2 to Ethanol,"['Chulalongkorn University', ""King Mongkut's Institute of Technology Ladkrabang"", 'Mahidol University']","['Thailand', 'Thailand', 'Thailand']",2021,[]
Impact of the polar optical phonon and alloy scattering on the charge-carrier mobilities of FA0.83Cs0.17Pb(I1xBrx)3hybrid perovskites,"['Srinakharinwirot University', 'Chulalongkorn University', 'Ministry of Higher Education, Science, Research and Innovation']","['Thailand', 'Thailand', 'Thailand']",2021,[]
