title,affiliation_name,affiliation_country,publication_year,keywords
Reduction of algal wall-growth biofilm for the cultivation of Chlorococcum in photobioreactors using commercial surfactants and floating plastic media,"['Chulalongkorn University', 'Thailand National Center for Genetic Engineering and Biotechnology']","['Thailand', 'Thailand']",2022,"['Biofilm', 'Chlorococcum', 'Microalgae', 'Photobioreactor', 'Surfactant']"
Dietary anthocyanins inhibit insulin fibril formation and cytotoxicity in 3T3-L1 preadipocytes,"['Chulalongkorn University', 'Mahidol University', 'Oklahoma State University']","['Thailand', 'Thailand', 'United States']",2022,"['Anthocyanins', 'Cyanidin', 'Cytotoxicity', 'Insulin fibrils', 'Malvidin']"
Metformin delivery via iontophoresis based on -carrageenan cryogels,"['Center of Excellence on Petrochemical and Materials Technology', 'Rajamangala University of Technology Thanyaburi (RMUTT)', 'Chulalongkorn University']","['Thailand', 'Thailand', 'Thailand']",2022,"['Metformin', 'Transdermal drug delivery', 'κ-Carrageenan']"
Experimental investigations of CO2 absorption and catalyst-aided CO2 desorption performance of several different amines blending with a promoter,"['Clean Energy Technologies Research Institute', 'Chulalongkorn University']","['Canada', 'Thailand']",2022,"['Amine blends', 'Catalytic CO2 desorption', 'CO2 absorption', 'CO2 capture', 'Equilibrium CO2 solubility']"
High-throughput screening of highly active and selective single-atom catalysts for ammonia synthesis on WB2 (0 0 1) surface,"['Metallurgy and Materials Research Institute Chulalongkorn University', 'Yanshan University']","['Thailand', 'China']",2022,"['Electrocatalysis', 'High-throughput screening', 'Nitrogen reduction reaction', 'Single-atom catalysts', 'Tungsten diboride']"
Electrodeposition of the manganese-doped nickel-phosphorus catalyst with enhanced hydrogen evolution reaction activity and durability,"['Metallurgy and Materials Research Institute Chulalongkorn University', 'Universidad de Tarapacá', 'Chulalongkorn University', 'Yanshan University', 'Central South University']","['Thailand', 'Chile', 'Thailand', 'China', 'China']",2022,"['Electrodeposition', 'HER', 'Ni–Mn–P catalyst', 'Polyvalent manganese', 'Small coral-like structures']"
Novel strategy in biohydrogen energy production from COVID - 19 plastic waste: A critical review,"['Xiamen University', 'Center of Excellence on Petrochemical and Materials Technology', 'Academy of Maritime Education and Training', 'The University of Nottingham Malaysia Campus', 'Chulalongkorn University', 'Universiti Tenaga Nasional']","['China', 'Thailand', 'India', 'Malaysia', 'Thailand', 'Malaysia']",2022,"['COVID-19 pandemic', 'Gasification', 'Hydrogen production', 'Plastic waste', 'Pyrolysis']"
Recent progress of electrocatalysts for hydrogen proton exchange membrane fuel cells,"['Chulalongkorn University', 'Iran Polymer and Petrochemical Institute']","['Thailand', 'Iran']",2022,"['Hydrogen oxidation', 'Membrane electrode assembly', 'Non-platinum catalyst', 'Oxygen reduction', 'Platinum catalyst', 'Proton exchange membrane']"
A Review of Packed Bed Reactor and Gradient-less Recycle Reactor for Determination of Intrinsic Reaction Kinetics,"['Chulalongkorn University', 'The Thai Institute of Chemical Engineering and Applied Chemistry', 'SCG']","['Thailand', 'Thailand', 'Thailand']",2022,"['Gradient-less recycle reactor', 'heat transfer', 'high-throughput experimentation', 'intrinsic kinetics', 'mass transfer', 'packed bed reactor']"
In the name of national security Thailand and the securitisation of the Rohingya,['Chulalongkorn University'],['Thailand'],2022,[]
Herbal medicinal compounds and their anti-breast cancer actions: A mechanistic perspective,"['Bishop Heber College, Tiruchirappalli', 'Vignans Foundation for Science Technology and Research University', 'Baylor University Medical Center at Dallas', 'Bharathidasan University', 'Chulalongkorn University']","['India', 'India', 'United States', 'India', 'Thailand']",2022,[]
Immunogenicity of SARS-CoV-2 vaccines in patients with multiple myeloma: a systematic review and meta-analysis,"['Siriraj Hospital', 'VA Boston Healthcare System', 'Faculty of Medicine, Chiang Mai University', 'Massachusetts General Hospital', 'Chulalongkorn University', 'King Chulalongkorn Memorial Hospital', 'University of Miami Leonard M. Miller School of Medicine', 'University of Arizona College of Medicine – Tucson', ""Brigham and Women's Hospital"", 'Faculty of Medicine, Srinakharinwirot University', 'Faculty of Medicine, Chulalongkorn University', 'Johns Hopkins School of Medicine']","['Thailand', 'United States', 'Thailand', 'United States', 'Thailand', 'Thailand', 'United States', 'United States', 'United States', 'Thailand', 'Thailand', 'United States']",2022,[]
