title,affiliation_name,affiliation_country,publication_year,keywords
Identifying nursing research priorities in Vietnam: A modified delphi study,"['Chulalongkorn University', 'University of Medicine and Pharmacy']","['Thailand', 'Viet Nam']",2019,"['Delphi method', 'nursing', 'research priorities', 'Vietnam']"
Evaluation of the sciatic nerve location regarding its relationship to the piriformis muscle,['Chulalongkorn University'],['Thailand'],2019,"['Greater trochanter', 'Ischial tuberosity', 'Localisation', 'Piriformis muscle', 'Posterior superior iliac spine', 'Sciatic nerve']"
Breast conserving surgery versus modified radical mastectomy,['Chulalongkorn University'],['Thailand'],2019,[]
Clinical outcomes and surgical preferences for breast-conserving surgery and mastectomy: A propensity score-matched analysis,"['Chulalongkorn University', 'King Chulalongkorn Memorial Hospital', 'Johns Hopkins Bloomberg School of Public Health']","['Thailand', 'Thailand', 'United States']",2019,"['breast-conserving surgery', 'mastectomy', 'retrospective study']"
Common orthopedic problems in the neonate: A comparative study of 2 periods at a tertiary-care hospital,"['Chulalongkorn University', 'Thailand Ministry of Public Health']","['Thailand', 'Thailand']",2019,"['foot deformities', 'fracture', 'hip dysplasia', 'incidence', 'newborn']"
Conservative surgical management for immediate postpartum hemorrhage,['King Chulalongkorn Memorial Hospital'],['Thailand'],2019,"['balloon occlusion', 'postpartum hemorrhage', 'uterine artery ligation', 'uterine compression suture']"
Distinguishing magnetic resonance imaging features between idiopathic hypertrophic pachymeningitis and secondary hypertrophic pachymeningitis,['Chulalongkorn University'],['Thailand'],2019,"['dural inflammation', 'dural thickening', 'hypertrophic pachymeningitis', 'idiopathic hypertrophic pachymeningitis', 'thickened dura']"
Transcriptome analysis of Pueraria candollei var. mirifica for gene discovery in the biosyntheses of isoflavones and miroestrol,"['Chulalongkorn University', 'Kasetsart University, Kamphaeng Saen Campus', 'Université de Strasbourg', 'Chiba University']","['Thailand', 'Thailand', 'France', 'Japan']",2019,"['Isoflavones', 'Miroestrol', 'Pueraria candollei var. mirifica', 'Transcriptome', 'White Kwao Krua']"
Performance of a Monofiber Optical Probe in Determining the Droplet Size and Velocity in Spray Systems Compared with a High-Speed Camera,"['Chulalongkorn University', 'Université Fédérale Toulouse Midi-Pyrénées']","['Thailand', 'France']",2019,[]
Hybrid Monitoring of Surface Roughness and Straightness in CNC Turning of Aluminium using Neural Networks Approach,['Chulalongkorn University'],['Thailand'],2019,"['back propagation', 'cutting force ratio', 'neural networks', 'straightness', 'surface roughness']"
Bacterial community structures and biodegradation kinetic of Tiamulin antibiotic degrading enriched consortia from swine wastewater,"['Chulalongkorn University', 'Mahidol University', ""King Mongkut's University of Technology Thonburi"", 'Bac Lieu University']","['Thailand', 'Thailand', 'Thailand', 'Viet Nam']",2019,"['Degradation kinetic', 'Enrichment culture', 'Next generation sequencing', 'Swine farm', 'Tiamulin (TIA)', 'Veterinary antibiotic substance']"
"Impact of faculty development programme on self-efficacy, competency and attitude towards medical education in Bhutan: A mixed-methods study","['Jigme Dorji Wangchuck National Referral Hospital', 'Chulalongkorn University', 'Johns Hopkins Bloomberg School of Public Health', ""His Majesty's People's Project"", 'Khesar Gyalpo University of Medical Sciences of Bhutan']","['Bhutan', 'Thailand', 'United States', 'Bhutan', 'Bhutan']",2019,"['Core competency', 'Health human resource', 'Health professional education', 'Residency training']"
