title,affiliation_name,affiliation_country,publication_year,keywords
CIGS thin film solar cells with graded-band gap fabricated by CIS/CGS bilayer and CGS/CIS/CGS trilayer systems,"['Chulalongkorn University', 'Ministry of Higher Education, Science, Research and Innovation']","['Thailand', 'Thailand']",2018,[]
Machine Learning system mimicking student's choice in Particle Data Analysis laboratory activity,['Chulalongkorn University'],['Thailand'],2018,[]
Effects of global and local rewiring on SIS epidemic adaptive networks,"['Chulalongkorn University', 'Ministry of Higher Education, Science, Research and Innovation']","['Thailand', 'Thailand']",2018,[]
Glucose sensing characterization of non-enzymatic nickel film and nickel foam electrodes in sodium hydroxide solution,"['Kasetsart University', 'Metallurgy and Materials Research Institute Chulalongkorn University']","['Thailand', 'Thailand']",2018,[]
Shielding the Earth Magnetic Field using Spherical Coils,['Chulalongkorn University'],['Thailand'],2018,[]
EMF Shielding of One Set of Circular Coils with Slight Distortion,"['Chulalongkorn University', 'Suranaree University of Technology']","['Thailand', 'Thailand']",2018,[]
Evaluation of Thai students and teacher's attitudes in physics using Colorado Learning Attitudes about Science Survey (CLASS),"['Chulalongkorn University', 'Ministry of Higher Education, Science, Research and Innovation']","['Thailand', 'Thailand']",2018,[]
Cosmic-Ray Muons Detection by a Spark Chamber,['Chulalongkorn University'],['Thailand'],2018,[]
3D Information Retrieving of Concealing Surface beneath Opaque Resin Layer by Fast-Fourier Low Coherence Interferometer,['Chulalongkorn University'],['Thailand'],2018,[]
Mass-radius bounds in massive gravity models,['Chulalongkorn University'],['Thailand'],2018,[]
Identification of Pinocembrin as an Anti-Glycation Agent and -Glucosidase Inhibitor from Fingerroot (Boesenbergia rotunda): The tentative structureactivity relationship towards Mg-trapping activity,"['Chulalongkorn University', 'Universitas Airlangga']","['Thailand', 'Indonesia']",2018,"['Advanced glycation end-products', 'Boesenbergia rotunda', 'Diabetes', 'Methylglyoxal', 'Pinocembrin', 'Structure-activity relationship', 'α-glucosidase']"
Graceful exit for the cosmological constant damping scenario,"['International Solvay Institute for Physics and Chemistry', 'Chulalongkorn University']","['Belgium', 'Thailand']",2018,[]
Structural and transport phenomena of urocanate-based proton carrier in sulfonated poly(ether ether ketone) membrane composite,"['Chiang Mai University', ""King Mongkut's University of Technology North Bangkok"", 'Chiang Mai Rajabhat University', 'Universiti Malaya', 'Chulalongkorn University']","['Thailand', 'Thailand', 'Thailand', 'Malaysia', 'Thailand']",2018,"['fuel cell', 'molecular dynamics simulations', 'proton conductivity', 'sulfonated poly(ether ether ketone) membrane']"
Simulation of control characteristics of liquid column vibration absorber using a quasi-elliptic flow path estimation method,"['Chulalongkorn University', 'Prince of Songkla University']","['Thailand', 'Thailand']",2018,"['LCVA', 'Natural frequency', 'Panel method', 'Quasi-elliptic flow path estimation method', 'TLCD']"
