title,affiliation_name,affiliation_country,publication_year,keywords
Time-periodic quantum states of weakly interacting bosons in a harmonic trap,"['International Solvay Institute for Physics and Chemistry', 'Chulalongkorn University']","['Belgium', 'Thailand']",2020,"['Bose-Einstein condensates', 'Breathers', 'Matter waves', 'Nonlinear waves']"
Mechanochemical reactions of MnO2 and graphite nanosheets as a durable zinc ion battery cathode,"['Southern University of Science and Technology', 'Metallurgy and Materials Research Institute Chulalongkorn University', 'Chulalongkorn University', 'Huazhong University of Science and Technology', 'Yanshan University']","['China', 'Thailand', 'Thailand', 'China', 'China']",2020,"['Ball milling', 'Graphite nanosheets', 'Hybrids', 'MnO2', 'Volume change', 'Zinc ion battery']"
Fabrication of molybdenum doped carbon nitride nanosheets for efficiently photocatalytic water splitting,"['Chulalongkorn University', 'Beijing University of Technology']","['Thailand', 'China']",2020,"['Carbon nitride', 'Doping', 'Hydrogen evolution', 'Nanosheet', 'Photocatalyst']"
Near-room-temperature superconductivity of Mg/Ca substituted metal hexahydride under pressure,"['Chulalongkorn University', 'Science']","['Thailand', 'Thailand']",2020,"['Alloys', 'High pressure', 'Metal hydride compounds', 'Mg/Ca', 'Near-room-temperature critical temperature', 'Superconductivity']"
Autophagy related protein 9A increase in hepatitis B virus-associated hepatocellular carcinoma and the role in apoptosis,"['Kasetsart University', 'Faculty of Medicine, Chulalongkorn University']","['Thailand', 'Thailand']",2020,"['Apoptosis', 'Autophagy', 'Autophagy related protein 9A', 'HBx', 'Hepatitis B virus', 'Hepatocellular carcinoma']"
Deterioration of Open-cell Aluminum Foam in Strong Sulfuric Acid,"['Silpakorn University', 'Chulalongkorn University']","['Thailand', 'Thailand']",2020,[]
Preface and Welcome Speech (ICEIT 2020),"['Chulalongkorn University', 'Silpakorn University', 'National Institute of Technology, Toyota College', 'Chengdu University', 'Electricity Generating Authority of Thailand', 'Kumamoto University', 'Yamaguchi University', 'Universiti Teknologi PETRONAS']","['Thailand', 'Thailand', 'Japan', 'China', 'Thailand', 'Japan', 'Japan', 'Malaysia']",2020,[]
Kinetic study for the co-pyrolysis of water hyacinth biomass with waste polystyrene,"['Chulalongkorn University', 'Silpakorn University']","['Thailand', 'Thailand']",2020,[]
Multifunctional catalyst of Cu/ZnO and molecular sieve for low temperature CO2 conversion to methanol,['Chulalongkorn University'],['Thailand'],2020,[]
Performance and cost analysis of hydrogen production from steam reforming and dehydrogenation of ethanol,['Chulalongkorn University'],['Thailand'],2020,[]
Biomarker-guided preemption of steroid-refractory graft-versus-host disease with a-1-antitrypsin,"['Icahn School of Medicine at Mount Sinai', 'Vanderbilt University Medical Center', 'Universitätsklinikum Erlangen', 'Massachusetts General Hospital', 'Chulalongkorn University', 'Columbia University Irving Medical Center', 'Penn Medicine', 'Klinikum der Universität Regensburg und Medizinische Fakultät', 'IRCCS Ospedale Pediatrico Bambino Gesù', 'City of Hope National Med Center', 'Mayo Clinic', 'Universitätsklinikum Hamburg-Eppendorf', 'The Ohio State University Comprehensive Cancer Center']","['United States', 'United States', 'Germany', 'United States', 'Thailand', 'United States', 'United States', 'Germany', 'Italy', 'United States', 'United States', 'Germany', 'United States']",2020,[]
Origins of Electrostriction in Poly(vinylidene fluoride)-Based Ferroelectric Polymers,"['Chulalongkorn University', 'South China University of Technology', 'Thailand National Metal and Materials Technology Center', 'Brookhaven National Laboratory', 'Case Western Reserve University']","['Thailand', 'China', 'Thailand', 'United States', 'United States']",2020,[]
Spectral proper orthogonal decomposition analysis of the turbulent wake of a disk at Re = 50 000 SPECTRAL PROPER ORTHOGONAL DECOMPOSITION ... S. NIDHAN et al.,"['University of California, San Diego', 'Chulalongkorn University']","['United States', 'Thailand']",2020,[]
Generation of (: Z)--alkenyl alkylsulfones via a copper-catalyzed decarboxylative alkylsulfonylation,"['Shanghai Institute of Organic Chemistry Chinese Academy of Sciences', 'Chulalongkorn University', 'TaiZhou University']","['China', 'Thailand', 'China']",2020,[]
Nanofibrillation and characterization of sugarcane bagasse agro-waste using water-based steam explosion and high-pressure homogenization,['Chulalongkorn University'],['Thailand'],2020,"['Cellulose nanofibers', 'High-pressure homogenizer', 'Mechanical defibrillation', 'Microfluidizer', 'Steam explosion', 'Sugarcane bagasse waste']"
Mitochondria and immunity in chronic fatigue syndrome,"['Medical University of Plovdiv', 'Chulalongkorn University', 'Deakin University', 'CRC Scotland &amp; London']","['Bulgaria', 'Thailand', 'Australia', 'United Kingdom']",2020,"['Chronic fatigue syndrome', 'Circadian', 'Endogenous opioidergic system', 'Gut microbiome', 'Immune', 'Mitochondria', 'Pathophysiology', 'Treatment', 'Vagus nerve', 'Viral re-awakening']"
Effects of pursed-lip breathing and forward trunk lean postures on total and compartmental lung volumes and ventilation in patients with mild to moderate chronic obstructive pulmonary disease: An observational study,"['California State University, Northridge', 'Faculty of Medicine, Chulalongkorn University', 'Faculty of Allied Health Sciences', 'Central Chest Institute of Thailand']","['United States', 'Thailand', 'Thailand', 'Thailand']",2020,"['chronic obstructive pulmonary disease', 'forward lean', 'optoelectronic plethysmography', 'pursed-lip breathing']"
Dark Matter of Primate Genomes: Satellite DNA Repeats and Their Evolutionary Dynamics,"['Kasetsart University', 'Chulalongkorn University', 'Universidade Estadual Paulista ""Júlio de Mesquita Filho""', 'Ministry of Higher Education, Science, Research and Innovation']","['Thailand', 'Thailand', 'Brazil', 'Thailand']",2020,"['alpha satellite', 'centromere', 'evolution', 'heterochromatin', 'non-human primates', 'tandem repeats']"
Biochemical and Structural Investigation of GnnA in the Lipopolysaccharide Biosynthesis Pathway of Acidithiobacillus ferrooxidans,"['Chulalongkorn University', 'University of Santo Tomas, Manila']","['Thailand', 'Philippines']",2020,[]
A global & environmental coral analysis system with spa-based semantic computing for integrating and visualizing ocean-phenomena with 5-dimensional world-map,"['Chulalongkorn University', 'Keio University', 'Kanagawa Institute of Technology']","['Thailand', 'Japan', 'Japan']",2020,"['5-Dimensional World Map System', 'Coral Analysis', 'Environmental Data Mining', 'Global Environmental Analysis', 'Semantic Computing', 'SPA']"
A concept for control and program based on the semantic space model,"['Chulalongkorn University', 'Keio University', 'Kanagawa Institute of Technology']","['Thailand', 'Japan', 'Japan']",2020,"['Artificial intelligent', 'Semantic computation', 'Semantic space', 'Unmanned control']"
Characteristics evaluation of fluorescein sodium as fluorescent tracer for petroleum wells,['Chulalongkorn University'],['Thailand'],2020,[]
Syntheses and anti-HIV and human cluster of differentiation 4 (CD4) down-modulating potencies of pyridine-fused cyclotriazadisulfonamide (CADA) compounds,"['Departement Microbiologie, Immunologie en Transplantatie', 'Chulalongkorn University', 'University of Nevada, Reno']","['Belgium', 'Thailand', 'United States']",2020,"['CD4', 'Cell-surface protein', 'Fused pyridines', 'HIV', 'Signal peptide', 'Translocation inhibitors']"
"Incidence, Persistence, and Factors Associated with HPV Infection among Male Adolescents with and Without Perinatally Acquired HIV Infection","['Faculty of Medicine, Chulalongkorn University', 'Siriraj Hospital', 'Thai Red Cross Agency', 'Kasetsart University', 'The HIV Netherlands Australia Thailand Research Collaboration', 'TREAT Asia/amfAR-The Foundation for AIDS Research']","['Thailand', 'Thailand', 'Thailand', 'Thailand', 'Thailand', 'Thailand']",2020,"['adolescent', 'HIV', 'human papillomavirus', 'incidence', 'perinatal', 'persistence']"
Bio-methanol production from oil palm residues: A thermodynamic analysis,"['Chulalongkorn University', ""King Mongkut's Institute of Technology Ladkrabang"", 'Newcastle University']","['Thailand', 'Thailand', 'United Kingdom']",2020,"['Bio-methanol', 'Gasification', 'Oil palm residues', 'Thermodynamic analysis']"
What matters in cost of debt: audit partner public-client specialization or busyness?,['Chulalongkorn Business School'],['Thailand'],2020,"['Audit partner', 'Busyness', 'Cost of debt', 'Specialization']"
Electrically controlled release of anticancer drug 5-fluorouracil from carboxymethyl cellulose hydrogels,"['Chulalongkorn University', ""King Mongkut's University of Technology Thonburi""]","['Thailand', 'Thailand']",2020,"['Anticancer drug', 'Carboxymethyl cellulose', 'Controlled drug release', 'Electrically stimuli']"
Culturally relevant constructionist design: exploring the role of community in identity development,"['Columbia University', 'Chulalongkorn University']","['United States', 'Thailand']",2020,['Case study']
Effect of amine types and temperature of a natural rubber based composite material on the carbon dioxide capture,['Chulalongkorn University'],['Thailand'],2020,"['Chemical adsorption', 'CO2 adsorption', 'Natural rubber foam', 'Physical adsorption']"
