title,affiliation_name,affiliation_country,publication_year,keywords
Graphene oxide-alginate hydrogel-based indicator displacement assay integrated with diaper for non-invasive Alzheimer's disease screening,"['Metallurgy and Materials Research Institute Chulalongkorn University', 'Chulalongkorn University', 'Institute of Molecular Biosciences, Mahidol University']","['Thailand', 'Thailand', 'Thailand']",2023,"[""Alzheimer's disease"", 'Hydrogel colorimetric sensor', 'indicator-displacement assay', 'PV/Cu2+-GO/Alg hydrogel', 'Urinary cysteine']"
"Rare coordination behavior of triethanolamine ligand in [Cu(H3tea)2](3,4-dimethoxycinnamate)22H2O: Synthesis, characterization, single crystal X-ray structure determination, Hirshfeld calculation and molecular docking studies","['Institute of Nano Science and Technology, Mohali', 'Chulalongkorn University', 'Himachal Pradesh University', 'Punjabi University', 'M.L.K. (P.G.) College']","['India', 'Thailand', 'India', 'India', 'India']",2023,"['Copper(II)', 'Hirshfeld calculations', 'Molecular docking', 'Single crystal X-ray', 'Spectroscopy', 'Triethanolamine']"
Total ammonia nitrogen removal and microbial community dynamics in an outdoor HDPE-lined shrimp pond with no water discharge,"['Chulalongkorn University', 'Mahidol University', 'Thailand National Center for Genetic Engineering and Biotechnology']","['Thailand', 'Thailand', 'Thailand']",2023,"['Ammonia removal', 'Carrying capacity', 'Microbiome', 'Outdoor shrimp pond', 'Phytoplankton']"
"Effects of microaeration and sludge recirculation on VFA and nitrogen removal, membrane fouling reduction and microbial community of the anaerobic baffled biofilm-membrane bioreactor in treating building wastewater",['Chulalongkorn University'],['Thailand'],2023,"['Anaerobic baffled biofilm–MBR (AnBB-MBR)', 'Membrane fouling reduction', 'Microaeration', 'Microbial community', 'Sludge recirculation', 'VFA and nitrogen removal']"
"Bioaccumulation of heavy metals in commercially important marine species from Puducherry coast, Southeast India","['Pondicherry University', 'Cochin University of Science and Technology', 'Chulalongkorn University', 'Institut Francais de Pondichery', 'King Fahd University of Petroleum and Minerals', 'Louisiana State University', 'Bar-Ilan University', 'CWF Labs: Transdisciplinary Healthcare &amp; Research']","['India', 'India', 'Thailand', 'India', 'Saudi Arabia', 'United States', 'Israel', 'India']",2023,"['Contamination', 'Health risk assessment', 'Heavy metals', 'Marine edible organisms', 'Pondicherry coast']"
"A comprehensive review on Saraca asoca (Fabaceae) - Historical perspective, traditional uses, biological activities, and conservation","['Chulalongkorn University', 'Ashoka Trust for Research in Ecology and the Environment', 'University of Agricultural Sciences, Bangalore']","['Thailand', 'India', 'India']",2023,"['Ashoka', 'Conservation strategies', 'Demand and supply chain', 'IUCN red list species', 'Saraca', 'Vulnerable species']"
Potential natural antimicrobial and antibiofilm properties of Piper betle L. against Staphylococcus pseudintermedius and methicillin-resistant strains,"['Prince of Songkla University', 'Nakhonratchasima Rajabhat University', 'Chulalongkorn University', 'Faculty of Medicine, Prince of Songkia University']","['Thailand', 'Thailand', 'Thailand', 'Thailand']",2023,"['Biofilm', 'Methicillin-resistant S. pseudintermedius', 'Piper betle', 'Staphylococcus pseudintermedius']"
Rice straw-derived smoke water promotes rice root growth under phosphorus deficiency by modulating oxidative stress and photosynthetic gene expression,"['Naresuan University', 'Chulalongkorn University']","['Thailand', 'Thailand']",2023,[]
Improving pharmaceutical analysis by incorporating green chemistry and smartphone technology: The assay for dissolution test of ethambutol tablets as an example,"['Chulalongkorn University', 'Silpakorn University', 'The Programmer']","['Thailand', 'Thailand', 'Spain']",2023,"['Assay', 'Digital image colorimetry', 'Ethambutol', 'Green chemistry', 'Smartphone']"
Targeted sequencing analysis pipeline for species identification of human pathogenic fungi using long-read nanopore sequencing,"['Chulalongkorn University', 'Siriraj Hospital', 'Curtin Medical School', 'UAMS College of Medicine', 'The University of Sydney', 'Thailand National Center for Genetic Engineering and Biotechnology', 'Faculty of Medicine and Health', 'Faculty of Medicine, Chulalongkorn University', 'Westerdijk Fungal Biodiversity Institute - KNAW']","['Thailand', 'Thailand', 'Australia', 'United States', 'Australia', 'Thailand', 'Australia', 'Thailand', 'Netherlands']",2023,"['Fungal identification', 'Internal transcribed spacer (ITS)', 'Nanopore technology', 'Targeted long-read sequencing']"
Responding to an unprecedented shock  Elucidating how 113 DMOs changed the marketing communications on Twitter during the COVID-19 crisis,"['Chulalongkorn Business School', 'Mahidol University']","['Thailand', 'Thailand']",2023,"['COVID-19', 'Crisis communications', 'Data analytics', 'Destination marketing', 'Destination marketing organisations (DMOs)', 'Marketing strategy', 'Social media strategy', 'Twitter']"
Calcium phosphate ceramic as a model for enamel substitute material in dental applications,"['Chulalongkorn University', 'Mahidol University, Faculty of Dentistry', 'Thailand National Science and Technology Development Agency']","['Thailand', 'Thailand', 'Thailand']",2023,[]
Matrices-charges of agar-alginate crosslinked microcapsules via o/w microemulsion: A non-spore forming probiotic bacteria encapsulation system for extensive viability,['Chulalongkorn University'],['Thailand'],2023,"['Agar', 'Alginate', 'Lactobacillus plantarum MB001', 'Microcapsule', 'Microemulsion', 'Probiotics']"
Metal ion removal using a low-cost coconut shell activated carbon bioadsorbent in the recovery of lactic acid from the fermentation broth,"['Chulalongkorn University', 'Center of Excellence on Petrochemical and Materials Technology']","['Thailand', 'Thailand']",2023,"['Adsorption', 'Carboxymethyl cellulose', 'Coconut shell activated carbon', 'Lactic acid recovery', 'Thermodynamic and kinetics']"
Deciphering migraine pain mechanisms through electrophysiological insights of trigeminal ganglion neurons,"['Chulalongkorn University', 'King Chulalongkorn Memorial Hospital', 'Faculty of Medicine, Chulalongkorn University']","['Thailand', 'Thailand', 'Thailand']",2023,[]
Scale development to measure the patient perception of patient-centered care of dentists in primary care settings of Thailand: a measurement invariance test,['Chulalongkorn University'],['Thailand'],2023,"['Confirmatory factor analysis', 'Exploratory factor analysis', 'Measurement invariance', 'Patient perception', 'Patient-centered dental care', 'Primary care']"
Long-term benefit of DAAs on gut dysbiosis and microbial translocation in HCV-infected patients with and without HIV coinfection,"['Faculty of Medicine, Chulalongkorn University', 'UAMS College of Medicine', 'Kumamoto University', 'The HIV Netherlands Australia Thailand Research Collaboration']","['Thailand', 'United States', 'Japan', 'Thailand']",2023,[]
"Methylene blue degradation under visible light of Au-DP25/PET and Cu-DP25/PET photocatalytic films, synthesized through two wet impregnation routes  An experimental and theoretical evaluation","['Chulalongkorn University', 'Benemerita Universidad Autonoma de Puebla', ""King Mongkut's Institute of Technology Ladkrabang""]","['Thailand', 'Mexico', 'Thailand']",2023,"['Au and Cu2O decorations', 'DP25', 'Methylene blue degradation', 'PET support', 'Photocatalytic films', 'Wet impregnation method']"
Sulfur metabolism in durian pulps: Factors contributing to the production of volatile sulfur compounds during fruit ripening,"['Chulalongkorn University', 'RIKEN Center for Sustainable Resource Science', 'Graduate School of Agriculture', 'Max Planck Institute of Molecular Plant Physiology', 'Nara Institute of Science and Technology', 'Khon Kaen University']","['Thailand', 'Japan', 'Japan', 'Germany', 'Japan', 'Thailand']",2023,"['Durian', 'Durio zibethinus L.', 'Fruit ripening', 'Methionine γ-lyase', 'Sulfur metabolism', 'γ- glutamylcysteine']"
Osteogenic induction of asiatic acid derivatives in human periodontal ligament stem cells,"['Chulalongkorn University', 'Institute for Frontier Life and Medical Sciences', 'Xihua University', 'Chengdu Institute of Biology Chinese Academy of Sciences']","['Thailand', 'Japan', 'China', 'China']",2023,[]
A novel simplified method for extraction of microplastic particles from face scrub and laundry wastewater,['Chulalongkorn University'],['Thailand'],2023,[]
"Author Correction: Effect of plant produced Anti-hIL-6 receptor antibody blockade on pSTAT3 expression in human peripheral blood mononuclear cells (Scientific Reports, (2023), 13, 1, (11927), 10.1038/s41598-023-39106-5)","['Chulalongkorn University', 'Universitat fur Bodenkultur Wien', 'Ltd.']","['Thailand', 'Austria', 'Thailand']",2023,[]
In vitro and in vivo studies of plant-produced Atezolizumab as a potential immunotherapeutic antibody,"['Chulalongkorn University', 'Universitat fur Bodenkultur Wien', 'Ltd.', 'Ltd.']","['Thailand', 'Austria', 'China', 'Thailand']",2023,[]
"Separation of the Chlorofluorocarbon (CFC) CCl2F2 from N2 in NaY Zeolite, in MIL-127(Fe) and in the two Carbon Nanotubes CNT (9,9) and CNT (11,11)","['Chulalongkorn University', 'Metallurgy and Materials Research Institute Chulalongkorn University', 'Ramkhamhaeng University', 'Universität Leipzig']","['Thailand', 'Thailand', 'Thailand', 'Germany']",2023,"['Arrhenius law', 'Computer simulation', 'Enthalpy of adsorption', 'Henry coefficient', 'Monte Carlo simulation', 'Selective adsorption']"
Label-free tumor cells classification using deep learning and high-content imaging,"['Faculty of Medicine, Chulalongkorn University', 'Chulalongkorn University', 'NVIDIA']","['Thailand', 'Thailand', 'United States']",2023,[]
Association between oral hypofunction and general health: a systematic review,['Chulalongkorn University'],['Thailand'],2023,"['Cognitive impairment', 'Mastication', 'Oral function', 'Physical activity', 'Social activity', 'Swallowing']"
Neuroprotective effect of nose-to-brain delivery of Asiatic acid in solid lipid nanoparticles and its mechanisms against memory dysfunction induced by Amyloid Beta1-42 in mice,"['Chulalongkorn University', 'Thai Red Cross Agency', 'Rangsit University']","['Thailand', 'Thailand', 'Thailand']",2023,"['Amyloid beta', 'Asiatic acid', 'Memory dysfunction', 'Mice', 'Nose-to-brain', 'SLNs']"
Bio-green synthesis of calcium acetate from oyster shell waste at low cost and reducing the emission of greenhouse gases,"[""King Mongkut's Institute of Technology Ladkrabang"", 'Chulalongkorn University']","['Thailand', 'Thailand']",2023,"['Biowaste', 'Calcium acetate', 'Calcium carbonate', 'Oyster-shell waste', 'Thermal decomposition']"
Impact of late gadolinium-enhanced cardiac MRI on arrhythmic and mortality outcomes in nonischemic dilated cardiomyopathy: updated systematic review and meta-analysis,"['Faculty of Medicine, Chulalongkorn University', 'Duke University School of Medicine']","['Thailand', 'United States']",2023,[]
"Pimobendan prevents cardiac dysfunction, mitigates cardiac mitochondrial dysfunction, and preserves myocyte ultrastructure in a rat model of mitral regurgitation","['Chulalongkorn University', 'Chiang Mai University', 'King Chulalongkorn Memorial Hospital', 'Mahidol University', 'Faculty of Medicine, Chulalongkorn University']","['Thailand', 'Thailand', 'Thailand', 'Thailand', 'Thailand']",2023,"['Mitochondrial quality', 'Mitral regurgitation', 'Pimobendan', 'Rat', 'Reactive oxygen species']"
"Correlations between histopathologic findings, serum biomarker levels, and clinical outcomes in StevensJohnson syndrome/toxic epidermal necrolysis (SJS/TEN)","['Faculty of Medicine, Chulalongkorn University', 'Chonburi Regional Hospital', 'Chulalongkorn University', 'King Chulalongkorn Memorial Hospital']","['Thailand', 'Thailand', 'Thailand', 'Thailand']",2023,[]
Undrained stability of braced excavations in clay considering the nonstationary random field of undrained shear strength,"['Thammasat University', 'Chulalongkorn University', ""King Mongkut's University of Technology Thonburi""]","['Thailand', 'Thailand', 'Thailand']",2023,[]
Commercial scale production of Yamabushitake mushroom (Hericium erinaceus (Bull.) Pers. 1797) using rubber and bamboo sawdust substrates in tropical regions,"['Chulalongkorn University', 'Thammasat University', 'Thailand National Center for Genetic Engineering and Biotechnology']","['Thailand', 'Thailand', 'Thailand']",2023,[]
